Borrower_ID,Age,Employment_Status,Income,Credit_Score,Nationality,Loan_ID,Interest_Rate,Loan_Term,Purpose,Disbursement_Date,Due_Date,Days_Past_Due,Payment_Amount,Outstanding_Balance,Collection_Status,Recovery_Status,Recovery_Amount,Recovery_Date,Paid_Date,Invoice_Amount,Customer_Segment,Days_To_Collect,Recovered,Contact_Attempts,Payment_History_Pattern,Region,Channel_of_Contact
1,56,Employed,117747,793,German,10001,5.73,36,Debt Consolidation,2/17/2021,2/2/2024,4,42005.5836,-6161.5836,Current,Not Started,0,,2/6/2024,35844,Employed,1084,0,1,Always Late,South,Email
2,69,Employed,70922,768,German,10002,8.64,60,Home Improvement,9/9/2022,8/14/2027,0,5719.407999999999,-1725.408,Current,Not Started,0,,8/14/2027,3994,Employed,1800,0,1,Always Late,West,In-App
3,46,Employed,63231,624,German,10003,13.04,36,Debt Consolidation,9/19/2022,9/3/2025,4,6599.8528,-1855.8528,Current,Not Started,0,,9/7/2025,4744,Employed,1084,0,8,Mixed,North,Phone
4,32,Employed,44301,603,German,10004,11.03,24,Home Improvement,8/2/2021,7/23/2023,-2,58874.4204,-10640.4204,Current,Not Started,0,,7/21/2023,48234,Employed,718,0,7,Mixed,West,Email
5,60,Employed,106652,575,German,10005,8.23,12,Other,1/10/2022,1/5/2023,69,52265.3493,-3974.3493,Delinquent,Not Started,0,,3/15/2023,48291,Employed,429,0,7,Mixed,East,SMS
6,25,Employed,77711,500,German,10006,11.13,60,Home Improvement,9/9/2020,8/14/2025,-3,44098.758,-15766.758,Current,Not Started,0,,8/11/2025,28332,Employed,1797,0,7,Mixed,East,Phone
7,38,Employed,56323,744,German,10007,4.86,36,Debt Consolidation,7/30/2020,7/15/2023,95,7555.405199999999,-961.4052,Default,Recovered,-702.2918815,3/28/2024,10/18/2023,6594,Employed,1175,1,6,Always On Time,East,In-App
8,56,Employed,33752,623,German,10008,8.12,48,Education,7/13/2020,6/22/2024,42,54712.9152,-13413.9152,Delinquent,Not Started,0,,8/3/2024,41299,Employed,1482,0,1,Always Late,South,Email
9,36,Employed,112912,334,Other,10009,12.62,24,Debt Consolidation,8/11/2020,8/1/2022,-5,10483.8404,-2112.8404,Current,Not Started,0,,7/27/2022,8371,Employed,715,0,3,Mixed,South,Phone
10,40,Self-Employed,97205,781,Other,10010,6.04,12,Business,12/24/2021,12/19/2022,0,51233.226,-2918.226,Current,Not Started,0,,12/19/2022,48315,Self-Employed,360,0,6,Mixed,South,Phone
